time_s,cmd,imu_z,height
3.750540,0.050000,0.900193,60.000000
3.760602,0.050000,0.897093,60.000000
3.771497,0.050000,0.886165,60.000000
3.782272,0.050000,0.893531,60.000000
3.793090,0.050000,0.910872,60.000000
3.804048,0.050000,0.921926,64.000000
3.814805,0.050000,0.920815,64.000000
3.825600,0.050000,0.902298,64.000000
3.836358,0.050000,0.879443,64.000000
3.847129,0.050000,0.872626,64.000000
3.857978,0.050000,0.896952,63.000000
3.868760,0.050000,0.914954,63.000000
3.879587,0.050000,0.913409,63.000000
3.890315,0.050000,0.898042,63.000000
3.901016,0.050000,0.898411,64.000000
3.911072,0.050000,0.910501,64.000000
3.921852,0.050000,0.921083,64.000000
3.932659,0.050000,0.917841,64.000000
3.943375,0.050000,0.910410,64.000000
3.954057,0.050000,0.895503,64.000000
3.964827,0.050000,0.886316,64.000000
3.975706,0.050000,0.886650,64.000000
3.986497,0.050000,0.900797,64.000000
3.997303,0.050000,0.906737,65.000000
